HAYA_ID|GESTOR|USUARIO
7230388|GCOM|GESTCOM
7233807|GCOM|mpelegay
7230402|GCOM|jroca
7230403|GCOM|jroca
7230404|GCOM|jroca
7230405|GCOM|sguillen
7288648|GCOM|GESTCOM
7230406|GCOM|cguillamon
7230407|GCOM|sguillen
7288649|GCOM|GESTCOM
7230408|GCOM|jroca
7230409|GCOM|jroca
7230410|GCOM|jroca
7230411|GCOM|jroca
7233828|GCOM|GESTCOM
7230412|GCOM|jsala
7230413|GCOM|cguillamon
7230414|GCOM|jsala
7230415|GCOM|jsala
7230416|GCOM|jsala
7230417|GCOM|jsala
7230418|GCOM|jsala
7230419|GCOM|jsala
7230420|GCOM|jsala
7230421|GCOM|jsala
7230422|GCOM|jsala
7230423|GCOM|jsala
7230424|GCOM|jsala
7230425|GCOM|jsala
7230426|GCOM|jsala
7230427|GCOM|jsala
7230428|GCOM|jsala
7230429|GCOM|jsala
7230430|GCOM|jsala
7230431|GCOM|jsala
7230432|GCOM|jsala
7230433|GCOM|jsala
7230434|GCOM|jsala
7230435|GCOM|jsala
7230436|GCOM|jsala
7230437|GCOM|jsala
7230438|GCOM|jsala
7230439|GCOM|jsala
7230440|GCOM|jsala
7230441|GCOM|sguillen
7230442|GCOM|sguillen
7230443|GCOM|jordonez
7230444|GCOM|jordonez
7230446|GCOM|jordonez
7230447|GCOM|aaltarriba
7230448|GCOM|aaltarriba
7230449|GCOM|aaltarriba
7230450|GCOM|aaltarriba
7230451|GCOM|aaltarriba
7230452|GCOM|aaltarriba
7230453|GCOM|jsala
7230454|GCOM|cguillamon
7288651|GCOM|GESTCOM
7230455|GCOM|eblasco
7230456|GCOM|jcanelles
7230457|GCOM|sguillen
7230458|GCOM|sguillen
7230460|GCOM|sguillen
7230461|GCOM|jsimon
7230462|GCOM|sguillen
7230463|GCOM|jsala
7230464|GCOM|bjulian
7230465|GCOM|jcanelles
7230466|GCOM|jcanelles
7230467|GCOM|jcanelles
7230468|GCOM|jcanelles
7230469|GCOM|jcanelles
7230470|GCOM|jcanelles
7230471|GCOM|jcanelles
7230472|GCOM|jcanelles
7230473|GCOM|jcanelles
7230474|GCOM|jcanelles
7230475|GCOM|jcanelles
7230476|GCOM|jcanelles
7230477|GCOM|jcanelles
7230478|GCOM|jcanelles
7230479|GCOM|jcanelles
7230480|GCOM|jcanelles
7230481|GCOM|jcanelles
7230482|GCOM|jcanelles
7230483|GCOM|jcanelles
7230484|GCOM|jcanelles
7230485|GCOM|jcanelles
7230486|GCOM|jcanelles
7230487|GCOM|jcanelles
7230488|GCOM|jcanelles
7230489|GCOM|jcanelles
7230490|GCOM|jcanelles
7230491|GCOM|jcanelles
7230492|GCOM|jcanelles
7230493|GCOM|jcanelles
7230494|GCOM|jcanelles
7230495|GCOM|jcanelles
7234564|GCOM|jgaruz
7234565|GCOM|jgaruz
7230497|GCOM|jcanelles
7230498|GCOM|jcanelles
7230500|GCOM|cguillamon
7234754|GCOM|GESTCOM
7230501|GCOM|jsala
7230502|GCOM|jsala
7235136|GCOM|mbenitez
7230503|GCOM|erosillo
7230504|GCOM|erosillo
7230505|GCOM|erosillo
7230506|GCOM|erosillo
7230507|GCOM|erosillo
7230508|GCOM|erosillo
7230509|GCOM|erosillo
7230510|GCOM|erosillo
7235330|GCOM|jgaruz
7235332|GCOM|alopezba
7235333|GCOM|rbarquero
7230511|GCOM|jsimon
7230512|GCOM|jsimon
7230513|GCOM|dsalvador
7230514|GCOM|dsalvador
7230515|GCOM|dsalvador
7230516|GCOM|dsalvador
7230517|GCOM|dsalvador
7230518|GCOM|dsalvador
7235679|GCOM|pgarciaalmonacid
7235710|GCOM|pgarciaalmonacid
7230519|GCOM|bjulian
7230520|GCOM|ssaenz
7230521|GCOM|ssaenz
7230522|GCOM|ssaenz
7230523|GCOM|ssaenz
7230524|GCOM|ssaenz
7230525|GCOM|ssaenz
7230526|GCOM|ssaenz
7230527|GCOM|ssaenz
7230528|GCOM|ssaenz
7230529|GCOM|ssaenz
7230530|GCOM|ssaenz
7230531|GCOM|ssaenz
7230532|GCOM|ssaenz
7230533|GCOM|ssaenz
7230534|GCOM|ssaenz
7230535|GCOM|ssaenz
7230536|GCOM|ssaenz
7230537|GCOM|ssaenz
7230538|GCOM|ssaenz
7230539|GCOM|ssaenz
7230540|GCOM|ssaenz
7230541|GCOM|ssaenz
7230542|GCOM|ssaenz
7230543|GCOM|ssaenz
7230544|GCOM|ssaenz
7230545|GCOM|ssaenz
7230546|GCOM|ssaenz
7230547|GCOM|ssaenz
7230548|GCOM|ssaenz
7230549|GCOM|ssaenz
7230550|GCOM|ssaenz
7230551|GCOM|ssaenz
7230552|GCOM|ssaenz
7230553|GCOM|ssaenz
7230554|GCOM|ssaenz
7230555|GCOM|ssaenz
7230556|GCOM|ssaenz
7230557|GCOM|ssaenz
7230558|GCOM|ssaenz
7230559|GCOM|ssaenz
7230560|GCOM|ssaenz
7230561|GCOM|ssaenz
7230562|GCOM|ssaenz
7230563|GCOM|ssaenz
7230564|GCOM|ssaenz
7230565|GCOM|ssaenz
7230566|GCOM|ssaenz
7230567|GCOM|ssaenz
7230568|GCOM|ssaenz
7230569|GCOM|ssaenz
7230570|GCOM|ssaenz
7230571|GCOM|ssaenz
7230572|GCOM|ssaenz
7230573|GCOM|ssaenz
7230574|GCOM|ssaenz
7236832|GCOM|jgonzalezmo
7230575|GCOM|ssaenz
7230576|GCOM|ssaenz
7230577|GCOM|ssaenz
7230578|GCOM|ssaenz
7230579|GCOM|ssaenz
7230580|GCOM|ssaenz
7230581|GCOM|ssaenz
7230582|GCOM|ssaenz
7230583|GCOM|ssaenz
7230584|GCOM|ssaenz
7230585|GCOM|ssaenz
7230586|GCOM|ssaenz
7230587|GCOM|ssaenz
7230588|GCOM|ssaenz
7230589|GCOM|ssaenz
7230590|GCOM|ssaenz
7230591|GCOM|ssaenz
7230592|GCOM|ssaenz
7230593|GCOM|jcanelles
7230594|GCOM|jcanelles
7230595|GCOM|jcanelles
7230596|GCOM|ssaenz
7230597|GCOM|jcanelles
7230598|GCOM|jcanelles
7230599|GCOM|ssaenz
7230600|GCOM|jcanelles
7230601|GCOM|jcanelles
7230602|GCOM|jcanelles
7230603|GCOM|jcanelles
7230604|GCOM|ssaenz
7230605|GCOM|jcanelles
7230606|GCOM|jcanelles
7230607|GCOM|ssaenz
7230608|GCOM|jcanelles
7230609|GCOM|jcanelles
7230610|GCOM|jcanelles
7230611|GCOM|ssaenz
7230612|GCOM|jcanelles
7230613|GCOM|jcanelles
7230614|GCOM|ssaenz
7230615|GCOM|jcanelles
7230616|GCOM|jcanelles
7230617|GCOM|ssaenz
7230618|GCOM|jcanelles
7230619|GCOM|jcanelles
7230620|GCOM|jcanelles
7230621|GCOM|jcanelles
7238351|GCOM|prico
7238830|GCOM|pgarciaalmonacid
7239613|GCOM|pgarciaalmonacid
7239728|GCOM|prico
7230623|GCOM|jcanelles
7230624|GCOM|jcanelles
7230625|GCOM|jcanelles
7240332|GCOM|jrincon
7230626|GCOM|ivert
7230627|GCOM|ivert
7230628|GCOM|ivert
7230629|GCOM|ivert
7230630|GCOM|ivert
7230637|GCOM|jcarrillo
7230638|GCOM|dchoclan
7230639|GCOM|dchoclan
7230640|GCOM|dchoclan
7230641|GCOM|dchoclan
7230642|GCOM|dchoclan
7230643|GCOM|dchoclan
7243183|GCOM|ppeinado
7243401|GCOM|rbarquero
7245352|GCOM|mgorrochategui
7245607|GCOM|aferrandiz
7248301|GCOM|pgarciaalmonacid
7248724|GCOM|fpineiro
7230821|GCOM|jsimon
7230822|GCOM|jcanelles
7249413|GCOM|mmoron
7249549|GCOM|mgomezh
7249731|GCOM|jsevilla
7249780|GCOM|jsevilla
7249781|GCOM|jsevilla
7230827|GCOM|mdavi
7230828|GCOM|mdavi
7230829|GCOM|mdavi
7230830|GCOM|mdavi
7230831|GCOM|mdavi
7230832|GCOM|jcanelles
7230833|GCOM|jcanelles
7249821|GCOM|jsevilla
7230851|GCOM|jsimon
7230852|GCOM|jsimon
7230853|GCOM|jsimon
7230854|GCOM|jsimon
7230855|GCOM|jsimon
7230856|GCOM|jsimon
7230857|GCOM|jsimon
7288668|GCOM|GESTCOM
7230858|GCOM|cguillamon
7249889|GCOM|lferrando
7230859|GCOM|ssaenz
7230860|GCOM|ssaenz
7249895|GCOM|jsevilla
7249896|GCOM|ejarquem
7249897|GCOM|ejarquem
7290387|GCOM|GESTCOM
7230861|GCOM|jroca
7230862|GCOM|jroca
7230863|GCOM|jroca
7230864|GCOM|jroca
7230865|GCOM|jroca
7230866|GCOM|jroca
7249907|GCOM|prico
7230867|GCOM|jroca
7230868|GCOM|jroca
7230869|GCOM|jroca
7230870|GCOM|jroca
7230871|GCOM|jroca
7230872|GCOM|jroca
7230873|GCOM|jroca
7230874|GCOM|jroca
7230875|GCOM|jroca
7230876|GCOM|jroca
7230877|GCOM|jroca
7230878|GCOM|jroca
7230879|GCOM|jroca
7230880|GCOM|jroca
7230881|GCOM|jroca
7230882|GCOM|jroca
7230883|GCOM|jroca
7230884|GCOM|jroca
7230885|GCOM|jroca
7230886|GCOM|jroca
7249956|GCOM|fpineiro
7230887|GCOM|jcanelles
7249974|GCOM|fpineiro
7249975|GCOM|fpineiro
7249978|GCOM|fpineiro
7249984|GCOM|asanchezpo
7249985|GCOM|aalonso
7249986|GCOM|rbarquero
7250006|GCOM|prico
7250017|GCOM|jsevilla
7285169|GCOM|ejarquem
7250046|GCOM|prico
7250082|GCOM|fpineiro
7250093|GCOM|asanchezpo
7250135|GCOM|pgarciaalmonacid
7250181|GCOM|asanchezpo
7250188|GCOM|mgorrochategui
7250192|GCOM|asantosh
7250205|GCOM|mcastaneda
7250213|GCOM|pgarciaalmonacid
7250253|GCOM|jsevilla
7250271|GCOM|jsanchezna
7250273|GCOM|asanchezpo
7250297|GCOM|fpineiro
7250298|GCOM|fpineiro
7250351|GCOM|fpineiro
7250366|GCOM|asantosh
7250398|GCOM|jgaruz
7250399|GCOM|jgaruz
7250400|GCOM|jgaruz
7250469|GCOM|asanchezpo
7250475|GCOM|nlopez
7250494|GCOM|pgarciaalmonacid
7250536|GCOM|jsevilla
7250662|GCOM|jgonzalezmo
7250822|GCOM|aalonso
7250869|GCOM|asegarra
7250878|GCOM|sllorente
7250881|GCOM|fmena
7250882|GCOM|asegarra
7250883|GCOM|asegarra
7250884|GCOM|asegarra
7250885|GCOM|asegarra
7250886|GCOM|asegarra
7250887|GCOM|asegarra
7250888|GCOM|asegarra
7250889|GCOM|asegarra
7250890|GCOM|asegarra
7250891|GCOM|asegarra
7250892|GCOM|asegarra
7250893|GCOM|asegarra
7250894|GCOM|asegarra
7250895|GCOM|asegarra
7251020|GCOM|GESTCOM
7251064|GCOM|GESTCOM
7251392|GCOM|asanchezpo
7251393|GCOM|asanchezpo
7252805|GCOM|jrincon
7252813|GCOM|ggandoy
7253584|GCOM|fpineiro
7255474|GCOM|fmena
7255484|GCOM|pgarciaalmonacid
7258578|GCOM|aferrandiz
7258586|GCOM|aferrandiz
7260328|GCOM|pgarciaalmonacid
7260398|GCOM|prico
7260399|GCOM|prico
7260400|GCOM|prico
7260408|GCOM|mgorrochategui
7260463|GCOM|jsevilla
7260478|GCOM|mcastaneda
7260576|GCOM|ejarquem
7260754|GCOM|jsevilla
7260756|GCOM|jsevilla
7260783|GCOM|fperello
7260791|GCOM|GESTCOM
7260792|GCOM|jroca
7260826|GCOM|ivert
7260835|GCOM|easins
7260845|GCOM|sllorente
7260932|GCOM|agarciares
7260934|GCOM|agarciares
